,Made Donation in March 2007
659,0.2222222222222222
276,0.3333333333333333
263,0.1111111111111111
303,0.3333333333333333
83,0.2222222222222222
500,0.4444444444444444
530,0.4444444444444444
244,0.0
249,0.2222222222222222
728,0.0
129,0.3333333333333333
534,0.2222222222222222
317,0.3333333333333333
401,0.1111111111111111
696,0.2222222222222222
192,0.2222222222222222
176,0.2222222222222222
571,0.4444444444444444
139,0.2222222222222222
423,0.2222222222222222
563,0.5555555555555556
56,0.4444444444444444
528,0.6666666666666666
101,0.1111111111111111
467,0.1111111111111111
382,0.2222222222222222
466,0.3333333333333333
294,0.0
512,0.1111111111111111
659,0.2222222222222222
389,0.2222222222222222
487,0.2222222222222222
701,0.2222222222222222
419,0.3333333333333333
536,0.2222222222222222
240,0.5555555555555556
508,0.2222222222222222
515,0.0
283,0.4444444444444444
650,0.1111111111111111
65,0.4444444444444444
228,0.2222222222222222
741,0.0
297,0.4444444444444444
464,0.0
63,0.2222222222222222
231,0.2222222222222222
28,0.1111111111111111
248,0.0
357,0.1111111111111111
300,0.4444444444444444
726,0.5555555555555556
680,0.3333333333333333
520,0.2222222222222222
254,0.1111111111111111
582,0.3333333333333333
143,0.2222222222222222
98,0.6666666666666666
1,0.3333333333333333
221,0.3333333333333333
352,0.1111111111111111
64,0.1111111111111111
138,0.3333333333333333
745,0.5555555555555556
64,0.1111111111111111
688,0.0
623,0.0
289,0.3333333333333333
174,0.5555555555555556
690,0.1111111111111111
105,0.2222222222222222
427,0.3333333333333333
48,0.1111111111111111
14,0.1111111111111111
657,0.0
301,0.2222222222222222
455,0.0
579,0.3333333333333333
722,0.1111111111111111
98,0.6666666666666666
491,0.1111111111111111
303,0.3333333333333333
466,0.3333333333333333
65,0.4444444444444444
300,0.4444444444444444
9,0.0
622,0.2222222222222222
323,0.0
289,0.3333333333333333
568,0.2222222222222222
290,0.1111111111111111
156,0.2222222222222222
464,0.0
426,0.1111111111111111
306,0.3333333333333333
4,0.3333333333333333
12,0.5555555555555556
187,0.2222222222222222
406,0.1111111111111111
96,0.4444444444444444
509,0.2222222222222222
733,0.0
548,0.0
478,0.2222222222222222
501,0.1111111111111111
127,0.3333333333333333
199,0.3333333333333333
299,0.5555555555555556
162,0.1111111111111111
235,0.3333333333333333
23,0.1111111111111111
473,0.1111111111111111
487,0.2222222222222222
683,0.7777777777777778
303,0.3333333333333333
309,0.0
569,0.1111111111111111
34,0.5555555555555556
686,0.4444444444444444
84,0.0
733,0.0
537,0.2222222222222222
181,0.1111111111111111
453,0.5555555555555556
67,0.5555555555555556
161,0.3333333333333333
307,0.2222222222222222
703,0.2222222222222222
181,0.1111111111111111
246,0.1111111111111111
316,0.5555555555555556
278,0.2222222222222222
346,0.3333333333333333
545,0.1111111111111111
419,0.3333333333333333
694,0.4444444444444444
622,0.2222222222222222
663,0.0
262,0.3333333333333333
461,0.2222222222222222
373,0.5555555555555556
233,0.1111111111111111
466,0.3333333333333333
207,0.2222222222222222
263,0.1111111111111111
16,0.1111111111111111
513,0.0
449,0.3333333333333333
429,0.0
701,0.2222222222222222
632,0.1111111111111111
529,0.2222222222222222
245,0.2222222222222222
344,0.2222222222222222
353,0.3333333333333333
241,0.3333333333333333
633,0.0
624,0.2222222222222222
726,0.5555555555555556
189,0.2222222222222222
138,0.3333333333333333
402,0.0
511,0.4444444444444444
590,0.2222222222222222
334,0.1111111111111111
447,0.1111111111111111
119,0.3333333333333333
389,0.2222222222222222
644,0.1111111111111111
423,0.2222222222222222
131,0.1111111111111111
405,0.1111111111111111
82,0.1111111111111111
643,0.5555555555555556
156,0.2222222222222222
617,0.0
574,0.3333333333333333
272,0.2222222222222222
613,0.2222222222222222
545,0.1111111111111111
685,0.0
570,0.1111111111111111
537,0.2222222222222222
691,0.0
85,0.4444444444444444
483,0.1111111111111111
455,0.0
93,0.2222222222222222
744,0.2222222222222222
33,0.1111111111111111
321,0.4444444444444444
523,0.1111111111111111
426,0.1111111111111111
196,0.1111111111111111
301,0.2222222222222222
103,0.0
224,0.1111111111111111
454,0.4444444444444444
585,0.1111111111111111
154,0.3333333333333333
